시도,시구군,본부,사업소,충전소ID,충전소명,주소,충전기ID,충전기명,용도,충전기용량,충전방식,충전기구분,충전량,충전시간,충전분,충전종료일자,충전시작시각,충전종료시각
강원도,강릉시,강원,강릉,2435,허균허난설헌기념공원,"강원도 강릉시 난설헌로193번길 1-15 (초당동, 초희전통차체험관)",6673,급속01,공용,50,DC콤보,급속,20.02,1,0,20231108,2023.11.8 16:00,2023.11.8 17:00
강원도,강릉시,강원,강릉,2434,교1동주민센터,"강원도 강릉시 하슬라로 173 (교동, 교1동주민센터)",6672,급속01,공용,50,DC차데모,급속,26.85,0,39,20231108,2023.11.8 16:07,2023.11.8 16:46
강원도,강릉시,강원,강릉,3716,강원도교육연수원,"강원도 강릉시 강릉대로587번길 42 (초당동, 강원도교육연수원)",9437,급속01,공용,50,DC차데모,급속,9.39,0,11,20231108,2023.11.8 16:10,2023.11.8 16:21
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12247,급속04,공용,100,DC콤보,급속,26.4,0,31,20231108,2023.11.8 16:12,2023.11.8 16:43
강원도,강릉시,강원,강릉,42,강릉특별지사,강원도 강릉시 강릉대로 563 (포남동),1300,완속03,업무용,7,AC완속(5핀),완속,30.03,4,56,20231108,2023.11.8 16:16,2023.11.8 21:13
강원도,강릉시,강원,강릉,2105,이마트 강릉점,강원도 강릉시 송정동 612-11,5955,급속02,공용,50,DC차데모,급속,12.15,0,22,20231108,2023.11.8 16:17,2023.11.8 16:39
강원도,강릉시,강원,강릉,4970,강원도환동해본부,"강원도 강릉시 주문진읍 주문로 14 (교항리, 강원도환동해본부)",11342,급속01,공용,100,DC콤보,급속,34.16,0,40,20231108,2023.11.8 16:18,2023.11.8 16:58
강원도,강릉시,강원,강릉,3637,하이빌현대아파트,강원도 강릉시 원대로128번길 14 (현대 하이빌 아파트),9048,완속02,아파트용,7,AC완속(5핀),완속,41.1,6,2,20231108,2023.11.8 16:23,2023.11.8 22:26
강원도,강릉시,강원,강릉,5492,강원지방기상청,"강원도 강릉시 사천면 과학단지로 130 (방동리, 강원지방기상청)",12200,급속01,공용,100,AC완속(5핀),급속,31.67,0,38,20231108,2023.11.8 16:27,2023.11.8 17:06
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12245,급속02,공용,100,AC완속(5핀),급속,50.48,0,49,20231108,2023.11.8 16:30,2023.11.8 17:19
강원도,강릉시,강원,강릉,2102,강원양돈농협 하나로마트,강원도 강릉시 솔올로 9 (교동),5951,급속01,공용,50,DC차데모,급속,28.54,0,52,20231108,2023.11.8 16:33,2023.11.8 17:25
강원도,강릉시,강원,강릉,3637,하이빌현대아파트,강원도 강릉시 원대로128번길 14 (현대 하이빌 아파트),9049,완속03,아파트용,7,AC완속(5핀),완속,62.33,10,15,20231109,2023.11.8 16:43,2023.11.9 2:59
