설치년도,시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 율곡로3139번길 24,오죽헌/시립박물관 주차장,관광시설,박물관,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,"37.779121,128.880768"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 향호리 8-37,주문진해수욕장,기타시설,기타,급속,급속(300kW동시),환경부,환경부(협회),급속(300kW동시),DC콤보,이용가능,"37.9094726,128.8173437"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 향호리 8-37,주문진해수욕장,기타시설,기타,급속,급속(300kW동시),환경부,환경부(협회),급속(300kW동시),DC콤보,이용가능,"37.9094726,128.8173437"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로 33,강릉시청(종각)주차장,주차시설,공영주차장,급속,급속(300kW단독),환경부,환경부(협회),급속(300kW단독),DC콤보,이용가능,"37.7509861,128.8775711"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 향호리 8-37,주문진해수욕장,관광시설,관광지,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.9094726,128.8173437"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로 33,강릉시청(종각)주차장,주차시설,공영주차장,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7509861,128.8775711"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 교항리 48-173,주문진실내체육관,기타시설,기타,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.8810053,128.8290842"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 교항리 48-173,주문진실내체육관,기타시설,기타,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.8810053,128.8290842"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로 2439,강릉 동부지구대,근린생활시설,경찰서,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.774046,128.9262988"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로 308,월드컵주유소,상업시설,주유소,급속,DC콤보,타기관,GS칼텍스,,DC콤보,이용가능,"37.7637311,128.9019547"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로 308,월드컵주유소,상업시설,주유소,급속,DC콤보,타기관,GS칼텍스,,DC콤보,이용가능,"37.7637311,128.9019547"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로 1850,홍제주유소,상업시설,주유소,급속,DC콤보,타기관,GS칼텍스,,DC콤보,이용가능,"37.746091,128.8724118"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로 1850,홍제주유소,상업시설,주유소,급속,DC콤보,타기관,GS칼텍스,,DC콤보,이용가능,"37.746091,128.8724118"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
